adrenomedullary,['C0235396']
adrs,['C0559546']
adult,['C0497406']
adulthood,['C0043094']
adultsdiabete,['C0497406']
adultsmed,"['C0871754', 'C0497406']"
adventitial,['C0241158']
adventitium,['C0205400']
adverb,['C0233647']
adverse,"['C0559546', 'C0027497', 'C0020649']"
adynamic,"['C0239981', 'C0020639']"
ae,['C0559546']
aecg,"['C0520886', 'C0520887']"
aecopd,['C0425488']
aed,['C0036572']
aeeg,['C0036572']
aenv,['C0016927']
aeration,['C0085631']
aero,['C0037383']
aerobic,['C0205254']
aerosolised,['C1260880']
aerosolize,['C0037383']
aes,"['C0559546', 'C0232602', 'C0027497', 'C1096646']"
aesop,['C0002416']
aetiology,['C0240805']
af,['C0232201']
afb,['C0032739']
afe,['C0006157']
afebrile,"['C0277797', 'C0151315', 'C0000731', 'C0578150', 'C0232498']"
affectation,"['C0030552', 'C0234133', 'C0013362']"
affected,"['C0231221', 'C0004134']"
affection,"['C0233844', 'C0030552', 'C0234133']"
affective,['C0030318']
afference,['C0231530']
affirmative,['C0232517']
afflict,['C0742985']
affliction,['C0742985']
afib,['C0232201']
afl,"['C0086439', 'C0232201']"
aflatoxicosis,['C0011991']
afp,"['C0003962', 'C0239981']"
afraid,"['C0558261', 'C0847488', 'C0233481']"
afterdepolarization,['C0232201']
afterdischarge,"['C0036572', 'C0231530']"
afterload,"['C0020440', 'C0020578', 'C0427008']"
aftermath,['C0028084']
afternoon,['C0234450']
aftershock,['C0312422']
afus,['C0006157']
aganglionic,['C1321756']
aganglionosis,['C1321756']
age,"['C0497406', 'C0041667']"
aged,"['C0497406', 'C0205254', 'C0041667']"
agep,"['C0559546', 'C0041834']"
agerelated,['C0338656']
aggravation,"['C0231187', 'C0085624', 'C0033774', 'C1517205', 'C0742985']"
aggregability,['C0149746']
aggressiveness,['C1269955']
agingclin,['C0338656']
agingclinical,['C0239301']
agitate,"['C0085631', 'C0234450', 'C0857256', 'C0231441', 'C0028084']"
agm,['C0016927']
agnor,['C0741302']
agnosium,"['C0234133', 'C1273573', 'C0013362', 'C0233844']"
agonal,"['C0085628', 'C0020578', 'C0428977', 'C0312422', 'C0700292']"
agony,"['C0028084', 'C0558261', 'C0847488']"
agoraphobia,['C0030318']
agoraphobic,['C0030318']
agrammatic,['C0233647']
agranulocytosis,"['C0559546', 'C1096646']"
agraphium,"['C0233647', 'C0234133', 'C0030552', 'C0233844']"
agreeableness,['C0233492']
aha,['C0002962']
ahc,['C0036572']
ahe,['C0020578']
ahi,"['C0037384', 'C0700292', 'C0751229', 'C0425488', 'C0020578']"
aider,['C0028084']
aidp,['C0234133']
ailment,['C0009806']
ainivay,['C0743482']
aion,"['C0085635', 'C0026961']"
airflow,"['C0232118', 'C0035508', 'C0013404', 'C0037384', 'C0700292']"
airspace,"['C0743482', 'C0264576', 'C0205400']"
airway,['C0010200']
airways,"['C0043144', 'C0743482', 'C0010200', 'C0035508', 'C0038450']"
airﬂow,"['C0232118', 'C0020578', 'C0035508', 'C0037384', 'C0700292']"
aix,['C0006318']
ajcn,"['C0043094', 'C0497406']"
ajmaline,"['C0520886', 'C0039070', 'C0520887', 'C0020461', 'C0232201']"
ajog,['C0006157']
ajp,['C0030318']
ajph,['C0237154']
ajrccm,['C0425488']
ajvr,['C0311395']
akathisia,"['C0233565', 'C0007398', 'C0234133', 'C0242143', 'C0040822']"
akathisium,"['C0040822', 'C0007398']"
aki,"['C0020625', 'C0020461', 'C0231187', 'C0028961', 'C0239981']"
akinesis,"['C0520886', 'C0520887', 'C0018800', 'C0232201', 'C0232267']"
akinesium,"['C0233565', 'C0040822', 'C0872410', 'C0030552', 'C0037763']"
akinetic,"['C0233565', 'C0872410', 'C0234133', 'C0085628', 'C0030552']"
akus,"['C0239981', 'C0020625', 'C0028961', 'C0020461', 'C0231187']"
alarm,"['C0312422', 'C0028084']"
alat,"['C0239981', 'C0020639', 'C1405524', 'C0003962', 'C1096646']"
albuginea,['C0241158']
albumin,"['C0239981', 'C0020639']"
alcaftadine,"['C0026961', 'C0677500', 'C0033774']"
alcoholic,"['C0728899', 'C0149696']"
alcoholics,['C0030318']
aldactone,['C0020461']
alertness,"['C0013144', 'C0234450', 'C0015672', 'C0020175', 'C0917801']"
alexium,['C0233647']
alf,['C0020625']
alff,['C0347938']
alfuzosin,['C0242453']
algometer,['C0231530']
algometry,"['C0231530', 'C0030193']"
alignment,['C0429562']
alimentation,"['C0149696', 'C0016204']"
alive,['C0424092']
alkalinization,['C0235396']
alkalinize,['C0235396']
alkalization,['C0235396']
alkalosis,"['C0020621', 'C0020461', 'C0020625', 'C0700292', 'C0020578']"
allah,['C0847488']
allay,['C0233481']
allelic,['C0281825']
allergy,['C0149696']
alleviation,"['C0742985', 'C0033774', 'C0009806']"
alloantibody,['C0427629']
allodynia,"['C0423571', 'C0030193', 'C0392699', 'C0677500', 'C0231530']"
allodynic,"['C0423571', 'C0030193', 'C0040264', 'C0392699', 'C0677500']"
allodynium,"['C0677500', 'C0030193', 'C0392699', 'C0423571']"
alloimmunization,['C0427629']
alopecia,"['C0033774', 'C0041834', 'C0332573']"
alosetron,"['C1291077', 'C0600142']"
alphabetic,['C0233647']
alphanumeric,['C0233647']
alphav,['C1269955']
alright,"['C0558261', 'C0847488', 'C0857256']"
als,['C0234133']
alt,"['C1096646', 'C0239981', 'C0019209']"
alterations,"['C0347938', 'C0338656']"
alternan,"['C0232201', 'C0520887', 'C0520886']"
alus,['C0700292']
alveolar,['C0743482']
alveolarization,"['C0743482', 'C0700292', 'C0020440']"
alveolitis,['C0743482']
alveolus,['C0743482']
ambidextrous,['C0002416']
ambiguity,['C1299586']
amblyope,['C0085635']
ambulant,"['C0425251', 'C0871754']"
ambulate,"['C0425251', 'C0522224']"
ambulation,"['C0425251', 'C0871754', 'C0231230']"
ambulatory,"['C0871754', 'C0425251']"
amci,['C0347938']
amcus,"['C0347938', 'C0338656']"
ameloblastic,['C0741302']
amenorrhea,"['C0019572', 'C0600142', 'C0235250']"
amenorrheic,['C0239301']
amenorrhoea,"['C0019572', 'C0235250', 'C0600142']"
amepre,['C0205254']
americans,['C0497406']
aminotransferase,"['C0239981', 'C1096646', 'C0231528', 'C0019209']"
amiodarone,['C0020461']
amma,['C0859032']
amnesia,"['C0036572', 'C0728899']"
amnestic,"['C0338656', 'C0347938', 'C0234133']"
amniocentesis,"['C0006157', 'C0156543']"
amoebiasis,['C0011991']
amperase,['C0231690']
amsler,['C0085635']
amtsl,['C0006157']
amuse,"['C0859032', 'C0847488', 'C0558261']"
amyotrophy,"['C0004134', 'C0234133', 'C0030552', 'C0030554', 'C0013362']"
anaemia,"['C0011991', 'C0020639', 'C0038002', 'C0239981', 'C0019214']"
anaemic,"['C0239981', 'C0020639']"
anaesthesiology,['C0020578']
anaesthetics,['C0030193']
anaesthijaindian,['C0020649']
anaesthindian,"['C0020649', 'C0020578', 'C0038450']"
anagram,['C0233647']
anal,['C0013428']
analgesia,['C0030193']
analgesic,['C0030193']
anamnesis,"['C0235710', 'C0149758', 'C0240962', 'C0151315', 'C0018965']"
anamnestic,"['C0241526', 'C0553668']"
anaphylactic,"['C0559546', 'C0677500', 'C0033774', 'C0085624', 'C0728899']"
anaphylactoid,"['C0559546', 'C0677500', 'C0033774', 'C0085624']"
anaphylaxi,"['C0559546', 'C0033774', 'C0728899', 'C0085624']"
anaphylaxis,"['C0149696', 'C0559546', 'C0043144']"
anaplasium,['C0741302']
anasarca,"['C0020639', 'C0239981', 'C0019209', 'C0028961', 'C0019214']"
anastomotic,['C1313921']
anatomopathological,['C0741302']
anc,['C0860096']
anchorage,['C1269955']
androgenetic,['C0019572']
androgenic,['C0239301']
andrology,['C0558141']
androstadienone,['C0558141']
anecdotally,['C0028084']
anechoic,"['C0443260', 'C0740844']"
anemic,"['C0020639', 'C0239981']"
anergic,['C0241526']
anergy,['C0241526']
anesthesiolbmc,"['C0700292', 'C0020578']"
anesthesiolkjaekorean,['C0020649']
anesthesiolkorean,['C0020649']
anesthesiological,['C0578150']
anesthesiologists,['C0425251']
anesthesiology,"['C0020649', 'C0030193']"
anew,['C0859032']
anger,"['C0233492', 'C0233481', 'C0027769']"
angina,"['C0002962', 'C0235710', 'C0039070', 'C0520886', 'C0013404']"
anginal,"['C0002962', 'C0235710', 'C0520886', 'C0520887', 'C0039070']"
angiodysplasium,['C0018932']
angioedema,"['C0559546', 'C0033774', 'C0037763', 'C0085624', 'C0020461']"
angiofibroma,['C0332573']
angiogenesis,['C1269955']
angiogenesiscancer,['C1269955']
angiogenesisj,['C1269955']
angiogenetic,['C1269955']
angiogram,['C0006318']
angiokeratoma,['C0332573']
angioma,['C0332573']
angiomatous,['C0741302']
angiomotin,['C1269955']
angiopathy,['C0019080']
angiostatin,['C1269955']
anguage,['C0233647']
anguish,"['C0558261', 'C0028084', 'C0233481']"
anhedonia,"['C0424230', 'C0022107']"
anhedonium,['C0022107']
anhidrosis,"['C0423571', 'C0030554', 'C0013362', 'C0085636', 'C0028643']"
anisocorium,"['C0026961', 'C0030232', 'C0030552', 'C0151315', 'C0085628']"
anisocytosis,"['C0030232', 'C0038002', 'C0085702', 'C0019214']"
ankyloglossium,['C0149758']
ankylose,['C0024031']
ankylosis,['C0008767']
annoy,"['C0558261', 'C0847488', 'C0232517', 'C0917801']"
annoyance,"['C0917801', 'C0232517', 'C0027769', 'C0233481', 'C0034880']"
annoyed,"['C0847488', 'C0234450', 'C0558261', 'C0232517', 'C0027769']"
annoying,"['C0028084', 'C0234450', 'C0917801', 'C0847488', 'C0027769']"
annular,['C0205400']
anoiki,['C1269955']
anoikis,['C1269955']
anomium,"['C0233647', 'C0234133']"
anorexic,"['C0020175', 'C0043094', 'C0003123']"
anosmic,"['C0003126', 'C0034880']"
anosmium,"['C0003126', 'C0034880', 'C0040264', 'C0085636', 'C0013362']"
anosognosium,['C0338656']
another,['C0424092']
anovulation,"['C0019572', 'C0235250']"
anoxia,"['C0020440', 'C0085628', 'C0020578', 'C0028961']"
anoxium,"['C0020440', 'C0235396']"
antacid,"['C0018834', 'C0009806', 'C0016204']"
antedate,"['C0240805', 'C0000727']"
antenatal,"['C0860096', 'C0156543']"
antenatally,"['C0860096', 'C0006157']"
antepartum,"['C0006157', 'C0860096', 'C0156543']"
anteroseptal,"['C0520886', 'C0520887']"
anthracosis,"['C0743482', 'C0034079', 'C0019079', 'C0035508']"
anthropometric,"['C0497406', 'C0205254']"
anthropometrical,"['C0497406', 'C0427008', 'C0205254']"
anthropometry,"['C0497406', 'C0041667', 'C0205254']"
anti,['C0746619']
antiactin,['C0746619']
antianginal,['C0002962']
antiarrhythmic,['C0232201']
antibody,['C0746619']
antibodyj,['C0746619']
anticardiolipin,['C0003862']
anticentromere,"['C0003862', 'C0018991']"
anticholinesterase,['C0234238']
anticlinal,['C0205400']
anticoagulate,['C0578150']
anticonvulsant,['C0036572']
anticorrelated,['C0542044']
antidiuretic,"['C0020625', 'C0032617', 'C0020621', 'C0020461']"
antidote,['C0728899']
antidromic,['C0231530']
antidromically,['C0231530']
antiemetic,"['C0027497', 'C0042963']"
antiepileptic,['C0036572']
antiestrogenic,['C0239301']
antigen,['C0746619']
antigliadin,['C0149696']
antiglobulin,['C0427629']
antihistamine,['C0559546']
antihuman,['C0746619']
antimouse,['C0746619']
antineutrophil,['C0018965']
antinuclear,"['C0003862', 'C0018965']"
antiosteoporotic,['C0239301']
antipeptide,['C0746619']
antiphase,['C0542044']
antipruritic,"['C0033774', 'C0677500']"
antiserum,['C0746619']
antisocial,['C0438696']
antoni,['C0741302']
antzelevitch,"['C0232201', 'C0520887', 'C0520886', 'C0039070']"
anulus,['C0241158']
anuric,"['C0020461', 'C0020625', 'C0578150', 'C0239981', 'C0028961']"
anurium,"['C0028961', 'C0020461', 'C0020621', 'C0020639', 'C0239981']"
anxiety,"['C0030318', 'C0233481', 'C0438696']"
anxietyj,['C0030318']
anxious,"['C0234450', 'C0233481', 'C0030318', 'C0847488']"
anybody,['C0558261']
anything,['C0233481']
aod,"['C0237154', 'C0438696']"
aog,['C0006157']
aor,['C0237154']
aortas,['C0241158']
aortocaval,['C0264576']
aortogram,['C0740844']
aosd,['C1517205']
apap,['C0728899']
apathetic,"['C0022107', 'C0234450']"
apathy,"['C0424230', 'C0338656', 'C0233565', 'C0234133', 'C0233844']"
apd,['C0232201']
aperiodic,['C0542044']
apgar,"['C0006157', 'C0576456', 'C0476273', 'C0231835', 'C0860096']"
aplasium,['C0038002']
apmr,"['C0024031', 'C0871754']"
apnea,"['C0037384', 'C0700292', 'C0020649', 'C0751229', 'C0039070']"
apneaam,"['C0037384', 'C0232118', 'C0038450']"
apneic,"['C0020578', 'C0700292', 'C0037384', 'C0425488', 'C0039070']"
apnoea,"['C0037384', 'C0700292', 'C0038450', 'C0232118', 'C0020578']"
apocrine,['C0741302']
apoplexy,['C0019080']
apparition,"['C0240805', 'C0085624', 'C0872410']"
appearance,"['C0205400', 'C0221198', 'C0038999', 'C0241157']"
appet,"['C0020175', 'C0497406']"
appetite,"['C0003123', 'C0020175', 'C0043094', 'C0917801', 'C0023380']"
appetizing,['C0020175']
appositional,['C0241158']
apprehension,['C0233481']
apprehensive,"['C0857256', 'C0847488', 'C0558261', 'C0233481']"
apraxic,['C0338656']
apraxium,"['C0234133', 'C0233844', 'C0233565', 'C0030552', 'C0004134']"
apri,['C0239981']
aprus,"['C0239981', 'C1096646']"
aprv,"['C0020440', 'C0700292', 'C0020578', 'C0425488']"
apu,['C0859032']
aque,['C1313921']
arabic,['C0233647']
arachnodactyly,"['C0018862', 'C0030232', 'C0019214']"
arachnoiditis,['C0036396']
archives,"['C0233647', 'C0037384']"
archpsyc,['C0030318']
ard,"['C0700292', 'C0425488']"
ardsnet,"['C0425488', 'C0700292', 'C0020440']"
area,['C0221198']
areata,['C0033774']
areflexium,"['C0030552', 'C0013362', 'C1273573', 'C0030554', 'C0009024']"
argyle,['C0554980']
arial,['C0233647']
armband,['C0205254']
arnott,['C0554980']
aromatherapy,['C0917801']
arousal,['C0020175']
arrangement,['C0429562']
arrhythmia,"['C0039070', 'C0428977', 'C0020649', 'C0020461', 'C0232201']"
arrhythmias,"['C0428977', 'C0039070', 'C0232201', 'C0520886', 'C0086439']"
arrhythmic,"['C0232201', 'C0039070']"
arrhythmicity,['C0751229']
arrhythmium,"['C0039070', 'C0428977', 'C0232201', 'C0020649', 'C0235710']"
arrhythmogenesis,['C0232201']
arrhythmogenicity,['C0232201']
arrow,['C0205400']
arterial,"['C0006318', 'C0232118']"
arterialize,['C0438716']
arterio,['C0006318']
arteriogram,"['C0740844', 'C0006318']"
arteriopathy,['C0236018']
artery,['C0006318']
artew,"['C0002962', 'C0000737', 'C0008031', 'C0085619', 'C0006318']"
arthralgium,"['C0003862', 'C0231528', 'C0004093', 'C0231218', 'C0033774']"
arthropathy,['C0003862']
arthrosc,"['C0024031', 'C0036396']"
arthrosis,['C0018862']
articleacute,"['C0085628', 'C1096646', 'C0149746', 'C0028961', 'C0428977']"
articleassessment,['C0344315']
articlechange,['C0149746']
articleearly,['C0006157']
articlepredictor,['C0742985']
artifact,['C1299586']
arvc,"['C0520886', 'C0039070', 'C0520887']"
arytenoid,"['C0019825', 'C0038450']"
arzoxifene,['C0239301']
asana,"['C0149746', 'C0872410']"
asat,"['C0239981', 'C0020639', 'C1096646', 'C1405524', 'C0028961']"
asberg,['C0007398']
asbestosis,"['C0743482', 'C0337672']"
ascariasis,['C0011991']
ascent,"['C0149746', 'C0085639']"
ascite,"['C0003962', 'C0038002', 'C0019209', 'C0020639', 'C0239981']"
ascitic,"['C0003962', 'C0020639', 'C0443260']"
ascitis,"['C0003962', 'C0019209', 'C0020639', 'C0019079', 'C1313921']"
asdh,['C0019080']
asex,['C0558141']
ashamed,"['C0847488', 'C0558261', 'C0233481']"
asleep,"['C0234450', 'C0028084', 'C0857256', 'C0312422', 'C0013144']"
aslv,['C0016927']
asmi,"['C0041667', 'C0497406']"
aspecific,"['C0018965', 'C0008033', 'C0277977', 'C0232267', 'C0541911']"
aspergilloma,['C0034079']
asphyxia,"['C0700292', 'C0020578', 'C0019080', 'C0020649', 'C0020440']"
asphyxial,"['C0020578', 'C0428977', 'C0020440']"
asphyxiate,"['C0576456', 'C0020578']"
asphyxiation,['C0008301']
aspirated,['C0443260']
aspiration,['C0010200']
asporin,['C0018862']
assertiveness,['C0233492']
assisted,"['C0156543', 'C0006157']"
assistive,"['C0871754', 'C0425251']"
associated,['C0004604']
associationdiagnosis,['C0041667']
assr,"['C0040264', 'C0034880']"
ast,"['C0239981', 'C0231528', 'C0019209', 'C0020639', 'C1096646']"
astrocytosis,['C0347938']
asylum,['C0237154']
asymmetrical,['C0002416']
asystole,"['C0039070', 'C0232201', 'C0428977', 'C0235710', 'C0520887']"
ataxic,"['C0234133', 'C0004134', 'C0233844', 'C1273573', 'C0242143']"
atelectasis,"['C0264576', 'C0700292', 'C0743482', 'C0038450', 'C0035508']"
atelectatic,"['C0743482', 'C0264576', 'C0700292', 'C0035508']"
atency,['C0231530']
athl,['C0024031']
athlete,['C0205254']
athletic,['C0205254']
atn,"['C0020625', 'C1096646', 'C0020461', 'C0239981']"
atom,['C0429562']
atonic,"['C0030552', 'C0037763', 'C0428977', 'C0013362', 'C0872410']"
atonium,"['C0231530', 'C0009024', 'C0872410', 'C0040822', 'C0037763']"
atony,"['C0156543', 'C0019080', 'C0006157', 'C0428977', 'C0037763']"
atopy,['C0043144']
atpiius,['C0497406']
atria,['C0086439']
atrial,['C0232201']
atrioventricular,"['C0232201', 'C0520886']"
atrogene,['C0006625']
atrophic,['C0205400']
atrophied,['C0241158']
atrophy,"['C0205400', 'C0004134', 'C0221198', 'C0030552', 'C0347938']"
atropine,['C0026961']
attack,"['C0728899', 'C0037763', 'C0037383', 'C0018681', 'C0424749']"
attempt,['C1299586']
attempted,"['C0438696', 'C0028084']"
attempter,['C0438696']
attenuation,['C0205400']
attitude,['C0233481']
atwo,['C0240962']
atypicality,['C0007398']
atypically,"['C0424230', 'C0476287']"
atypium,"['C0741302', 'C0205400']"
aud,"['C0030318', 'C0438696']"
audibility,"['C0034880', 'C0040264']"
audible,"['C0006318', 'C0240100', 'C0232517', 'C0231530', 'C0037383']"
audiogenic,['C0036572']
audiogram,"['C0034880', 'C0040264']"
audiologic,"['C0034880', 'C0040264']"
audiological,"['C0034880', 'C0040264']"
audiologist,['C0034880']
audiology,"['C0034880', 'C0040264']"
audiometric,"['C0034880', 'C0040264']"
audiometry,"['C0034880', 'C0040264']"
auditorily,['C0233647']
auditory,"['C0040264', 'C0034880']"
auf,['C0221232']
auguste,['C0221232']
augustine,['C0554980']
auricular,"['C0030193', 'C0423571', 'C0028643']"
auris,['C0038450']
auscultation,"['C0034642', 'C0240100', 'C0035508', 'C0232257', 'C0006318']"
auscultatory,"['C0240100', 'C0232118', 'C0438716', 'C0034642']"
authorid,['C0085606']
autneu,['C0041657']
automatism,"['C0872410', 'C1273573', 'C0009024', 'C0233844', 'C0013144']"
autonomic,"['C0015672', 'C0149746', 'C0039070', 'C0428977', 'C0020578']"
autoreactivity,['C0241526']
autoregulated,['C0542044']
autoregulation,"['C0020578', 'C0700292', 'C0149746', 'C0020440', 'C0232118']"
autoregulatory,['C0542044']
autosomal,['C0004134']
autotaxin,['C1269955']
autotomy,['C0311395']
autozygosity,['C0281825']
auxological,"['C0019572', 'C0576456']"
avascular,"['C0241158', 'C0019080']"
avastin,['C0746619']
avb,"['C0232201', 'C0039070']"
aversion,['C0020175']
avh,['C0040264']
avid,['C0034079']
avj,['C0232201']
avl,"['C0520887', 'C0520886']"
avm,['C0019080']
avnrt,"['C0232201', 'C0520886', 'C0039070']"
avoidance,['C0030318']
avpu,"['C0232517', 'C0037383']"
awake,"['C0041657', 'C0020578', 'C0231530']"
awaken,"['C0234450', 'C0028084', 'C0020578', 'C0424092', 'C0041657']"
awakening,"['C0751229', 'C0234450', 'C0028084', 'C0037384', 'C0312422']"
awareness,"['C0233481', 'C1299586']"
awe,['C0859032']
awful,"['C0558261', 'C0847488', 'C0028084']"
awn,['C0859032']
axe,['C0859032']
axelr,['C0085606']
axilla,"['C0332573', 'C0041834', 'C0013491', 'C0037580', 'C0332575']"
ayu,['C0003962']
azoor,['C0085635']
azotemia,"['C0239981', 'C0020639', 'C0020625', 'C0020461', 'C0020621']"
aﬂer,['C0018932']
babinski,"['C0009024', 'C0030552', 'C0872410', 'C0013362', 'C0234133']"
baby,['C0576456']
back,['C0085639']
bacteriologically,['C0032739']
bad,"['C0847488', 'C0233481', 'C0233492']"
badjust,['C0239301']
badl,"['C0425251', 'C0338656', 'C0871754']"
badly,['C0558261']
baldness,"['C0019572', 'C0332573']"
ballooning,['C0205400']
balneotherapy,"['C0036396', 'C0024031']"
balo,['C0347938']
balt,['C0743482']
bandettinip,['C0085606']
bapwv,['C0427008']
bariatric,"['C0497406', 'C0043094']"
barkhof,['C0347938']
barometric,['C0020578']
baroreceptor,['C0149746']
baroreflex,"['C0149746', 'C0020578']"
baroreﬂex,"['C0149746', 'C0020578', 'C0232118']"
barotrauma,"['C0020578', 'C0700292', 'C0038450', 'C0008301', 'C0020440']"
barthel,"['C0425251', 'C0871754']"
bartter,"['C0020461', 'C0020621', 'C0032617', 'C0020625']"
basaloid,['C0741302']
bate,['C0554980']
bathing,"['C0016382', 'C0037383', 'C0038990']"
batter,['C0558261']
bavi,['C0032739']
bazedoxifene,['C0600142']
bazett,['C0428977']
bbq,['C0024031']
bbs,['C0425251']
bcg,['C0032739']
bche,['C0234238']
bdd,"['C0424230', 'C0019572']"
beading,"['C0038999', 'C0205400', 'C0030232']"
beat,"['C0039070', 'C0240100', 'C0231530', 'C0030252']"
beauty,"['C0917801', 'C0234450']"
bederson,['C0233565']
bedeutung,['C0221232']
bedside,"['C0578150', 'C0028961']"
bedtime,['C0234450']
beginning,['C0424092']
behandlung,['C0221232']
behaviour,['C0020175']
behaviourj,['C0424337']
beholder,['C0085635']
beige,['C0332573']
beighton,['C0018862']
beim,['C0221232']
beitrag,['C0221232']
beitrage,['C0221232']
belch,"['C1291077', 'C0018932', 'C0009806', 'C0016204']"
belief,['C0233481']
believable,['C0847488']
beloved,['C0558261']
beltz,['C0221232']
bend,['C0427008']
bending,['C0427008']
benign,['C0231221']
benignity,['C0741302']
benzalkonium,['C0026961']
benzamidine,['C0234238']
bepotastine,['C0026961']
bereave,['C0438696']
bereaved,['C0438696']
bereavement,['C0438696']
berh,"['C0024031', 'C0036396']"
