,Symptoms
C0332601,cushingoid facies
C0337672,nonsmoker
C0338656,impaired cognition
C0342916,nutritional stunting
C0344232,vision blurred
C0344315,mood depressed
C0347721,strain of back muscle
C0347938,hypometabolism
C0349208,manic episode
C0349217,"depressive episode, unspecified"
C0349588,short stature
C0376405,patient non compliance
C0392162,clammy skin
C0392680,shortness of breath
C0392699,dysesthesia
C0392701,giddy mood
C0410550,collapse of vertebra
C0423571,abnormal sensation
C0423598,sensation as if bowel still full
C0423729,chest pain on breathing
C0423730,painful cough
C0423982,rambling speech
C0424000,feeling suicidal
C0424068,verbal auditory hallucinations
C0424092,withdraw
C0424109,weepiness
C0424230,motor retardation
C0424295,behavior hyperactive
C0424329,outbursts of anger
C0424530,absences finding
C0424561,bleeds profusely
C0424605,developmental delay
C0424641,decrease in height
C0424688,small head
C0424790,rigor - temperature-associated observation
C0425251,bedridden
C0425449,gasping for breath
C0425488,rapid shallow breathing
C0425491,catching breath
C0426396,urine looks dark
C0426587,altered appetite
C0426976,poor posture
C0427008,stiffness
C0427055,facial paresis
C0427068,monoparesis - leg
C0427108,general unsteadiness
C0427203,fluctuating muscle tone
C0428977,bradycardia
C0429562,superimposition
C0436331,symptom aggravating factors
C0438692,vaginal discharge symptom
C0438696,suicidal
C0438716,pressure chest
C0443260,milky
C0455204,homicidal thoughts
C0455769,energy increased
C0455913,large testicle
C0456091,large-for-dates fetus
C0456761,difficulty hearing in noise
C0456909,blindness
C0457096,yellow sputum
C0457097,green sputum
C0474395,behavior showing increased motor activity
C0474505,feces in rectum
C0475639,behavioral disability
C0476273,distress respiratory
C0476287,breath-holding spell
C0497156,lymphadenopathy
C0497378,hair loss/baldness
C0497406,overweight
C0497481,pain in penis
C0520966,coordination abnormal
C0521516,polymyalgia
C0521810,red blood cell sequestration in spleen
C0522067,liver pain
C0522224,paralyse
C0522245,sensation of hot and cold
C0522336,rolling of eyes
C0541798,awakening early
C0541911,dullness
C0541992,groggy
C0542044,incoherent
C0542073,lip smacking
C0542238,tingling feet/hands
C0542299,behavioral change
C0544755,genu varum
C0549249,depressed level of consciousness
C0549483,abscess bacterial
C0553668,labored breathing
C0554980,moody
C0556346,alcohol binge episode
C0557075,has religious belief
C0558089,verbally abusive behavior
C0558141,transsexual
C0558143,macerated skin
C0558168,able to cough up sputum
C0558189,abnormal movement
C0558195,wheelchair bound
C0558261,terrify
C0558361,sniffle
C0559260,congenital scoliosis
C0559546,adverse reaction
C0566963,scanty vaginal bleeding
C0576456,poor feeding
C0577066,gallbladder enlarged
C0577559,mass of body structure
C0577979,frothy sputum
C0578150,hemodynamically stable
C0578454,neck swelling
C0578503,abnormal vaginal bleeding
C0578735,axillary lymphadenopathy
C0578736,inguinal lymphadenopathy
C0578859,disturbed family
C0581911,heavy legs
C0581912,heavy feeling
C0584995,difficulty writing
C0596032,acquired immunodeficiencies
C0600142,hot flush
C0677500,stinging sensation
C0679474,loss of interest in activities
C0694547,systolic ejection murmur
C0700292,hypoxemia
C0702118,abnormally hard consistency
C0728899,intoxication
C0740844,air fluid level
C0740880,alcoholic withdrawal symptoms
C0742985,debilitation
C0743482,emphysematous change
C0743711,eye lesion
C0748706,side pain
C0751229,hypersomnolence
C0751295,memory loss
C0751409,upper extremity paresis
C0751495,focal seizures
C0847488,unhappy
C0848168,out of breath
C0848277,room spinning
C0848340,stuffy nose
C0848420,abnormal sensation of taste
C0848621,passed stones
C0849797,abnormal phlegm
C0849824,change in bowel movements
C0850149,non-productive cough
C0851265,learning problems
C0856054,mental status changes
C0857073,cold hands & feet
C0857199,red blotches
C0857256,unwell
C0857516,floppy
C0858665,stomach burning sensation of
C0858714,bone fragile
C0858899,attention concentration difficulty
C0858924,general discomfort
C0859032,moan
C0860096,primigravida
C0860439,mottled pigmentation
C0860452,loss of skin elasticity
C0871754,frail
C0872380,food craving
C0872410,posturing
C0877040,fear of falling
C0917799,hypersomnia
C0917801,sleeplessness
C0948786,blanch
C1096646,transaminitis
C1135120,breakthrough pain
C1260880,snuffle
C1262299,oral wart
C1269955,tumor cell invasion
C1273573,unsteady gait
C1291077,abdominal bloating
C1313921,urinoma
C1321756,achalasia
C1321898,blood in stool
C1384489,scratch marks
C1384606,dyspareunia
C1390483,hypoplasia; bone
C1405524,proteinemia
C1444773,throbbing sensation quality
C1445953,poor eye contact
C1446390,physical health problems
C1511606,cystic lesion
C1513183,metastatic lesion
C1579931,depressed - symptom
C1737247,increased abdominal girth
C1837658,gross motor development delay
C1851789,poor wound healing
C1854882,absent speech
C1856963,fragile nails
C1963789,genital swelling
C1971624,loss of appetite
C2010848,jaundice
C2019868,staring spell
C2045669,change in head size
C2052087,pelvic pressure
C2107732,consistent heat intolerance
C2111963,popping sensation in ankle
C2126231,light bleeding between periods
C2127347,burning sensation during urination
C2219675,abdominal pain radiating to right shoulder
C2243051,large head
C2364135,discomfort
C2721625,vaccination site hemorrhage
C2749723,chewing/swallowing difficulties
C2979982,vaginal hemorrhage
C3536794,sad mood
C3550001,monotonous speech
C3665347,visual impairment
C3693400,sudden unexplained change in speech
C3714552,weakness
C3714756,intellectual disability
C3843207,sound sensitivity
C3887611,restlessness
C4021087,abnormal social behavior
C4025209,abnormal facial expression
C4048330,lacks energy
C4274439,developmental language comprehension impairment
